,Date,Open,High,Low,Close,Volume,MktCap
326,"Feb 15, 2019","3,617.37","3,647.80","3,608.21","3,620.81",60919522316,3509111125
327,"Feb 14, 2019","3,631.17","3,646.26","3,607.70","3,616.88",62710444186,3434486052
328,"Feb 13, 2019","3,653.60","3,669.75","3,617.25","3,632.07",64389038236,3694394519
329,"Feb 12, 2019","3,642.75","3,668.59","3,618.56","3,653.53",64803845326,4063755250
330,"Feb 11, 2019","3,695.61","3,695.61","3,642.29","3,648.43",62770564346,3968390250
331,"Feb 10, 2019","3,673.20","3,695.04","3,640.98","3,690.19",62822569036,4694025951
332,"Feb 09, 2019","3,671.59","3,679.94","3,646.56","3,671.20",61588336456,4354732475
333,"Feb 08, 2019","3,401.38","3,695.61","3,391.02","3,666.78",77356231016,4270269953
334,"Feb 07, 2019","3,414.93","3,427.95","3,394.22","3,399.47",50049626835,9578075991
335,"Feb 06, 2019","3,469.09","3,469.09","3,398.57","3,413.77",54821960385,9821158612
336,"Feb 05, 2019","3,454.95","3,478.15","3,451.94","3,466.36",52275495456,0735563490
337,"Feb 04, 2019","3,467.21","3,476.22","3,442.59","3,459.15",53327188866,0603083461
338,"Feb 03, 2019","3,516.14","3,521.39","3,447.92","3,464.01",50439375846,0681847608
339,"Feb 02, 2019","3,484.63","3,523.29","3,467.57","3,521.06",50716236016,1675119055
340,"Feb 01, 2019","3,460.55","3,501.95","3,431.59","3,487.95",54229267076,1088747491
341,"Jan 31, 2019","3,485.41","3,504.80","3,447.92","3,457.79",58311982716,0553903927
342,"Jan 30, 2019","3,443.90","3,495.17","3,429.39","3,486.18",59551126276,1044262622
343,"Jan 29, 2019","3,468.87","3,476.07","3,400.82","3,448.12",58971594936,0371874099
344,"Jan 28, 2019","3,584.28","3,586.75","3,439.23","3,470.45",69089304836,0756570314
345,"Jan 27, 2019","3,604.69","3,612.67","3,567.25","3,583.97",55707529666,2737274093
346,"Jan 26, 2019","3,599.72","3,654.93","3,593.35","3,602.46",50981832356,3054898963
347,"Jan 25, 2019","3,607.39","3,612.93","3,575.60","3,599.77",52658475396,3000985908
348,"Jan 24, 2019","3,584.50","3,616.09","3,569.09","3,600.87",52628690466,3014066012
349,"Jan 23, 2019","3,605.56","3,623.07","3,565.31","3,585.12",54337556496,2731361272
350,"Jan 22, 2019","3,575.08","3,620.75","3,539.72","3,604.58",53136235566,3065139424
351,"Jan 21, 2019","3,600.37","3,608.84","3,558.54","3,576.03",50043470596,2559869612
352,"Jan 20, 2019","3,725.45","3,743.39","3,583.02","3,601.01",55824895606,2990143284
353,"Jan 19, 2019","3,652.38","3,758.53","3,652.38","3,728.57",59556913806,5214103659
354,"Jan 18, 2019","3,677.99","3,682.52","3,637.08","3,657.84",50029617276,3970991867
355,"Jan 17, 2019","3,651.87","3,680.14","3,621.96","3,678.56",54644203836,4327048255
356,"Jan 16, 2019","3,631.51","3,685.78","3,624.67","3,655.01",53944571456,3909348776
357,"Jan 15, 2019","3,704.22","3,720.15","3,619.95","3,630.68",55371923026,3477817959
358,"Jan 14, 2019","3,557.31","3,727.84","3,552.29","3,706.05",56513844906,4789619995
359,"Jan 13, 2019","3,658.87","3,674.76","3,544.93","3,552.95",46813024666,2106461671
360,"Jan 12, 2019","3,686.97","3,698.98","3,653.81","3,661.30",47781708836,3994140882
361,"Jan 11, 2019","3,674.02","3,713.88","3,653.07","3,687.37",55387128656,4443301117
362,"Jan 10, 2019","4,034.41","4,064.07","3,659.17","3,678.92",68741437966,4288932886
363,"Jan 09, 2019","4,031.55","4,068.40","4,022.66","4,035.30",51159052257,0508733459
364,"Jan 08, 2019","4,028.47","4,109.02","3,996.96","4,030.85",53065933057,0422743854
365,"Jan 07, 2019","4,078.59","4,092.61","4,020.89","4,025.25",52286256377,0316305580
366,"Jan 06, 2019","3,836.52","4,093.30","3,826.51","4,076.63",55970274407,1206795853
367,"Jan 05, 2019","3,851.97","3,904.90","3,836.90","3,845.19",51376098246,7157570935
368,"Jan 04, 2019","3,832.04","3,865.93","3,783.85","3,857.72",48479654676,7368333500
369,"Jan 03, 2019","3,931.05","3,935.69","3,826.22","3,836.74",45302152196,6994920903
370,"Jan 02, 2019","3,849.22","3,947.98","3,817.41","3,943.41",52448568366,8849856732
371,"Jan 01, 2019","3,746.71","3,850.91","3,707.23","3,843.52",43242009906,7098634181
372,"Dec 31, 2018","3,866.84","3,868.74","3,725.87","3,742.70",46618408066,5331499158
373,"Dec 30, 2018","3,822.38","3,901.91","3,797.22","3,865.95",47705785756,7475512827
374,"Dec 29, 2018","3,932.49","3,963.76","3,820.41","3,820.41",49916559176,6672244158
